,distr,address,phone,fullname,form,head,latitude,longitude
391,район Кузьминки,"109443, г. Москва, ул. Юных Ленинцев, д. 68, корп. 2",(903) 241-50-21,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 479 имени дважды Героя Советского Союза Маршала В.И. Чуйкова»,бюджетное,Кремпольская Татьяна Ивановна,37.7625067244,55.69630891
392,район Отрадное,"127490, г. Москва, ул. Пестеля, д.5",(499) 203-31-33,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1554»,бюджетное,Тертухина Ольга Николаевна,37.6134147098,55.8647051459
393,Дмитровский район,"127411, г. Москва, ул. Софьи Ковалевской, д. 8 ""А""",(495) 484-90-74,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 771»,бюджетное,Камнева Галина Дмитриевна,37.5306546085,55.8741834635
394,Таганский район,"109240, г. Москва, 1-ый Котельнический пер., д.5",(495) 915-25-29,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2104 на Таганке»,бюджетное,Гусев Вячеслав Борисович,37.6466585988,55.7436566951
395,район Западное Дегунино,"127486, г. Москва, ул. Дегунинская, дом 18",(499) 905-82-77,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2100»,бюджетное,Зиновьева Наталия Валентиновна,37.5340380311,55.8674911829
396,район Косино-Ухтомский,"111675, г. Москва, ул. Татьяны Макаровой, дом 2",(499) 797-34-10,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2036»,бюджетное,Иренкова Татьяна Витальевна,37.8845814961,55.7100575526
397,район Сокол,"125080, г. Москва, ул. Дубосековская, д. 3",(499) 158-16-45,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением испанского языка № 1252 имени Сервантеса»,бюджетное,Анурова Ирина Владимировна,37.4964361756,55.8102182826
398,район Сокольники,"107014, г. Москва, ул. Егерская, д. 4",(499) 269-07-97,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1530 «Школа Ломоносова»,бюджетное,Кузнецова Евгения Викторовна,37.6975677159,55.7863474265
399,район Соколиная Гора,"105118, г. Москва, пр-т Буденного, д.15А",(495) 366-08-38,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 429 «Соколиная гора»,бюджетное,Дроздов Сергей Юрьевич,37.7254401516,55.7760048606
400,Гагаринский район,"119333, г. Москва, ул. Фотиевой, 14, корп. 1",(499) 135-26-10,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением французского языка № 1265»,бюджетное,Холодная Оксана Васильевна,37.5579479368,55.6996542418
401,район Чертаново Северное,"117587, г. Москва, Варшавское ш., д.126А",(495) 316-76-88,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1623»,бюджетное,Кускова Надежда Юрьевна,37.6138160497,55.6296357902
402,район Хамовники,"119002, г. Москва, Спасопесковский пер., д.6, стр.7",(499) 252-81-64,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного языка № 1231 имени В.Д. Поленова»,бюджетное,Тиунова Виктория Викторовна,37.5747622659,55.7415970095
403,район Братеево,"115408, г. Москва, ул.Борисовские пруды, д.36, корп.2",(495) 341-36-83,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 998»,бюджетное,Романова Ирина Викторовна,37.7692046909,55.639777763
404,район Щукино,"123182, г. Москва, ул. Авиационная, д.71, корп. 3",(499) 193-12-31,Государственное бюджетное образовательное учреждение города Москвы «Школа № 1005 «Алые паруса»,бюджетное,Кузнецова Наталья Евгеньевна,37.4531439822,55.8086881543
405,район Гольяново,"107589, г. Москва, ул. Хабаровская, д. 18А",(495) 466-92-22,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1598»,бюджетное,Петров Константин Вадимович,37.8297699682,55.8227267681
406,район Чертаново Южное,"117405, г. Москва, Варшавское ш., д.156Б",(495) 386-15-48,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 629,бюджетное,Зайкова Светлана Леонидовна,37.596446783,55.5917959843
407,район Сокольники,"107014, г. Москва, ул. Барболина, д.1",(499) 264-56-71,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1282»,бюджетное,Жилина Елена Дмитриевна,37.6565283167,55.795001893
408,Таганский район,"109004, г. Москва, Товарищеский пер., д.21",(495) 911-16-01,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1270»,бюджетное,Кинешова Вера Павловна,37.6665227298,55.7414771158
409,район Зюзино,"117209, г. Москва, ул. Перекопская д.7, корп.3",(499) 122-70-69,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 554»,бюджетное,Майсурадзе Майя Отариевна,37.5817106479,55.6602905923
410,район Тёплый Стан,"117198, г. Москва, ул.Саморы Машела, д.6, корп.3",(499) 737-29-52,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1995»,бюджетное,Норенко Елена Ивановна,37.4757745122,55.6445726087
411,Ярославский район,"129347, г. Москва, ул. Проходчиков, д.9",(499) 182-19-44,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей информационных технологий № 1537»,бюджетное,Викторов Александр Яковлевич,37.7253858083,55.8778243276
412,район Коньково,"117279, г. Москва, ул.Генерала Антонова, дом 4А",(495) 333-13-71,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 49»,бюджетное,Лопаткина Светлана Васильевна,37.5448999822,55.6424788766
413,Тверской район,"125047, г. Москва, 1-я Миусская ул., д.4",(499) 978-32-00,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1574»,бюджетное,Клоков Денис Юрьевич,37.6005161104,55.7763066558
414,район Кунцево,"121609, г. Москва, ул.Осенняя, д.8, корп.1 и 3",(499) 727-22-34,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1130»,бюджетное,Бодер Дмитрий Израильевич,37.36200787,55.787183257
415,район Печатники,"109338, г. Москва, улица Полбина, дом 44",(495) 354-28-07,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1256 имени Героя Советского Союза И.С. Полбина»,бюджетное,Шестакова Оксана Александровна,37.7250103865,55.6813392282
416,район Северное Тушино,"125480, г. Москва, ул. Планерная, д.5, корп.2",(495) 490-71-87,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 883»,бюджетное,Куклева Людмила Александровна,37.4272634056,55.8627643865
417,район Дорогомилово,"121151, г. Москва, Кутузовский просп., д.22 корп. 1",(499) 243-63-10,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 56 имени академика В.А. Легасова»,бюджетное,Кондратенко Вера Даниловна,37.5515954688,55.7479433605
418,район Строгино,"123181, г. Москва, ул. Маршала Катукова, д. 21, корп. 2",(495) 758-81-90,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1519»,бюджетное,Сирый Николай Иванович,37.4140449916,55.8089133521
419,Гагаринский район,"119311, г. Москва, улица Строителей, дом 15",(495) 930-02-15,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 118»,бюджетное,Туйчиева Ирина Леонидовна,37.5359798284,55.6846875456
420,район Преображенское,"107392, г. Москва, ул. Знаменская, д.12/4",(495) 963-80-18,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1799 «Экополис»,бюджетное,Казакова Инна Владимировна,37.7275792016,55.8038246734
421,район Ивановское,"111558, г. Москва, Федеративный проспект, д.37А",(495) 302-33-12,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 633,бюджетное,Кондрашов Артем Вячеславович,37.8274016103,55.7547052179
422,район Солнцево,"119620, г. Москва, Солнцевский пр-т, д.12А",(495) 435-59-23,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1002»,бюджетное,Солодуха Ева Григорьевна,37.4026993649,55.6532474058
423,район Северное Бутово,"117216, г. Москва, улица Феодосийская, дом 11А",(495) 712-40-36,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1174»,бюджетное,Назарова Ольга Владимировна,37.5758247053,55.564618688
424,район Орехово-Борисово Южное,"115582, г. Москва, ул. Домодедовская, д.24, корп. 7",(495) 391-79-00,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного (английского) языка № 1207»,бюджетное,Пономарчук Татьяна Германовна,37.7112201849,55.602445334
425,Мещанский район,"129110, г. Москва, Глинистый пер., д.7, стр.1",(495) 680-86-97,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1297»,бюджетное,Назаров Александр Ираклиевич,37.6409612384,55.7827031658
426,район Бирюлёво Восточное,"115598, г. Москва, ул.Липецкая, д.15, корп.2",(495) 329-17-11,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 935»,бюджетное,Кутайсова Наталья Викторовна,37.6890870216,55.584111128
427,район Нагатино-Садовники,"115230, г. Москва, ул. Нагатинская, д.4, корп.1",(499) 611-15-91,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Технологический колледж № 34»,бюджетное,Воронкова Нина Александровна,37.6470661548,55.7239596885
428,район Зюзино,"117452, г. Москва, ул. Азовская, д. 41",(495) 318-59-09,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 536»,бюджетное,Хардина Юлия Владимировна,37.5969988522,55.6517839264
429,район Новогиреево,"111394, г. Москва, ул.Утренняя, д.12",(495) 368-55-74,Государственное бюджетное образовательное учреждение города Москвы гимназия № 2072,бюджетное,Валишина Лариса Николаевна,37.7922063098,55.7465795804
430,район Зябликово,"115573, г. Москва, ул. Мусы Джалиля, дом 36 корпус 2",(495) 396-97-16,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1569 «Созвездие»,бюджетное,Воропаева Алла Викторовна,37.7363060492,55.6176695385
431,район Замоскворечье,"127422, г. Москва, Тимирязевская улица, дом 36",(495) 951-50-33,Государственное автономное образовательное учреждение высшего образования города Москвы «Московский институт открытого образования»,автономное,Рытов Алексей Иванович,37.5428753039,55.681176285
432,район Хорошёво-Мнёвники,"123154, г. Москва, ул. Народного Ополчения, д. 27, корп. 2",(499) 191-83-12,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1515»,бюджетное,Мещерякова Светлана Вячеславовна,37.4732204509,55.7775886912
433,район Царицыно,"115516, г. Москва, ул.Севанская, д.13, корп.2",(495) 325-28-66,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 868»,бюджетное,Агашкова Светлана Владимировна,37.6514202725,55.6205888601
434,район Раменки,"119330, г. Москва, ул.Дружбы, д.8",(499) 143-04-12,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1586»,бюджетное,Силкина Елена Викторовна,37.5148722509,55.7141760511
435,Южнопортовый район,"115088, г. Москва, ул. 1-я Дубровская, д. 16",(495) 674-06-09,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1274 имени В.В.Маяковского»,бюджетное,Уколов Антон Альфредович,37.6665496498,55.7299396393
436,район Якиманка,"127282, г. Москва, ул. Тихомирова, д. 10, к. 1",(495) 951-87-82,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Первый Московский Образовательный Комплекс»,бюджетное,Мироненко Юрий Дмитриевич,37.6511808459,55.8850803991
437,район Северное Тушино,"125373, г. Москва, ул. Героев Панфиловцев, д. 35, кор. 2",(495) 948-29-38,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 827»,бюджетное,Огородникова Наталья Владимировна,37.40959477,55.8518303002
438,Можайский район,"121354, г. Москва, ул. Дорогобужская, д.13",(495) 446-19-15,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1195»,бюджетное,Евсикова Наталья Леонидовна,37.4198668123,55.7176048547
439,район Кузьминки,"109117, г. Москва, ул. Окская, д. 16, корп. 3",(499) 177-62-77,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 825»,бюджетное,Шелухин Юрий Геннадиевич,37.7544171225,55.709939233
440,район Северное Медведково,"127642, г. Москва, Сухонская ул., д.13",(499) 477-00-72,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 967»,бюджетное,Аракелян Армине Седраковна,37.6434901532,55.8822213985
441,район Кунцево,"121467, г. Москва, ул.Молдавская, д.6, корп.2",(000) 000-00-00,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 887»,бюджетное,Морозов Илья Ильич,37.4249638333,55.741185472
442,район Митино,"125222, г. Москва, улица Рословка, дом 8",(495) 505-97-43,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1564 имени Героя Советского Союза А.П. Белобородова»,бюджетное,Смирнова Татьяна Владимировна,37.3504942755,55.8331025032
443,район Чертаново Южное,"117534, г. Москва, Кировоградская ул., д.42, корп.2",(495) 387-22-22,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного (английского) языка № 1245»,бюджетное,Кохендерфер Юлия Валерьевна,37.5935734573,55.5996511931
444,район Выхино-Жулебино,"109153, г. Москва, ул. Маршала Полубоярова, дом 12",(495) 705-62-29,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1909 имени Героя Советского Союза А.К. Новикова»,бюджетное,Нагорнова Лариса Валериевна,37.8625220266,55.6866934946
445,Даниловский район,"119071, г. Москва, ул.Орджоникидзе, д.15",(499) 235-13-80,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж сферы услуг № 32»,бюджетное,Орлова Валентина Николаевна,37.5889225874,55.7096070073
446,район Беговой,"125040, г. Москва, 5-я улица Ямского поля, д. 28/32",(495) 614-57-03,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1570»,бюджетное,Рубинская Светлана Петровна,37.5764287858,55.7866471086
447,район Марьина Роща,"127521, г. Москва, ул. Октябрьская, д. 81",(499) 978-14-78,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия Марьина Роща имени В.Ф. Орлова»,бюджетное,Карпова Анна Ивановна,37.6140530088,55.7909639037
448,Рязанский район,"109428, г. Москва, ул. Маевок, дом 4",(499) 170-23-29,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 777 имени Героя Советского Союза Е.В. Михайлова»,бюджетное,Савина Елена Александровна,37.7611596966,55.7280244514
449,район Чертаново Южное,"117534, г. Москва, Чертановская ул., д.62А",(495) 386-76-23,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 932»,бюджетное,Абрамов Борис Александрович,37.5854537718,55.5993593172
450,район Покровское-Стрешнево,"125362, г. Москва, ул.Вишневая, д.5",(495) 748-83-89,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский государственный образовательный комплекс»,бюджетное,Артемьев Игорь Анатольевич,37.4299293861,55.828201853
451,район Южное Бутово,"117042, г. Москва, ул. Бартеневская, д. 27",(495) 717-88-18,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1981»,бюджетное,Чермошенцев Александр Викторович,37.5359149862,55.5477140951
452,район Бибирево,"127349, г. Москва, Шенкурский проезд, дом 15",(499) 206-59-33,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 953»,бюджетное,Волощенко Оксана Витальевна,37.5902743909,55.8941732224
453,район Орехово-Борисово Северное,"115569, г. Москва, пр.Шипиловский, д.37, корп.1",(495) 393-89-58,"Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский колледж управления, гостиничного бизнеса и информационных технологий «Царицыно»",бюджетное,Седова Наталья Николаевна,37.7156441466,55.6225343313
454,район Лефортово,"111250, г. Москва, Красноказарменная ул. , д. 11",(495) 361-13-81,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 417»,бюджетное,Данилина Татьяна Александровна,37.7021351128,55.761369867
455,район Солнцево,"119297, г. Москва, ул.Родниковая, д.20, корп.1",(495) 435-08-80,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1436»,бюджетное,Караев Сергей Валентинович,37.3809289518,55.6345811866
456,район Южное Бутово,"117624, г. Москва, улица Изюмская, дом 38, корпус 1",(495) 717-12-09,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1354»,бюджетное,Постникова Анна Львовна,37.5629781748,55.5492937779
457,район Гольяново,"105122, г. Москва, ул. Амурская, дом 6",(495) 462-21-42,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 319»,бюджетное,Харламова Марина Владимировна,37.7930510288,55.8121731396
458,район Матушкино,"124498, г. Москва, Зеленоград, корп. 429А",(499) 736-12-64,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 618»,бюджетное,Быстрова Светлана Сергеевна,37.2079047194,55.9928796922
459,район Филёвский Парк,"121309, г. Москва, ул.Барклая, д.15, корп.3",(499) 145-14-87,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1497»,бюджетное,Обижаева Марина Юрьевна,37.5044588789,55.7522152455
460,район Перово,"129336, г. Москва, Анадырский проезд, д. 79, стр.1-2",(495) 672-31-05,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский колледж архитектуры и градостроительства»,бюджетное,Ариончик Александр Александрович,37.7133903985,55.8845082921
461,район Фили-Давыдково,"121108, г. Москва, ул. Кастанаевская, д.59",(499) 144-79-18,Государственное казенное общеобразовательное учреждение города Москвы «Кадетская школа-интернат «Навигацкая школа»,казённое,Ястребова Александра Петровна,37.4555906093,55.7307593814
462,район Орехово-Борисово Северное,"115563, г. Москва, Борисовский проезд, д. 13",(495) 393-39-00,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 996»,бюджетное,Любушкина Юлия Ивановна,37.7159597069,55.6271293974
463,Даниловский район,"115093, г. Москва, ул.Павловская, д.8А",(495) 952-63-70,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1257»,бюджетное,Григорьева Людмила Васильевна,37.6270334994,55.7147194834
464,Рязанский район,"109377, г. Москва, 1-я Новокузьминская ул. , д. 21",(495) 378-24-47,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2090»,бюджетное,Кислицина Марина Владимировна,37.7926643671,55.7092666257
465,Головинский район,"125438, г. Москва, ул. Онежская, дом 3",(499) 747-69-98,Государственное автономное профессиональное образовательное учреждение города Москвы «Колледж предпринимательства № 11»,автономное,Шептуха Вячеслав Владимирович,37.5211210696,55.8450721171
466,район Зябликово,"115682, г. Москва, Задонский пр., д.34, корп.3",(495) 395-92-64,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2116 «Зябликово»,бюджетное,Королев Александр Андреевич,37.7520052574,55.61827548
467,Пресненский район,"123001, г. Москва, Вспольный пер., д.6, стр.3",(495) 691-44-96,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1239»,бюджетное,Тимашова Алена Евгеньевна,37.5887003701,55.7603373982
468,район Богородское,"107150, г. Москва, ул. Лосиноостровская, д.22а",(499) 169-19-12,Государственное казенное общеобразовательное учреждение города Москвы «Кадетская школа-интернат № 5 «Преображенский кадетский корпус»,бюджетное,Годына Владимир Васильевич,37.7100387307,55.8254020266
469,Таганский район,"115172, г. Москва, ул.Народная, д.11/2",(495) 911-84-81,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 498»,бюджетное,Гордзейко Тамара Васильевна,37.6716273036,55.7291864719
470,район Хамовники,"119021, г. Москва, Зубовский б-р, д.5, стр.1",(499) 246-61-18,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1253 с углубленным изучением иностранного языка»,бюджетное,Акулова Наталья Андреевна,37.5864295008,55.7322712069
471,район Гольяново,"107589, г. Москва, ул. Хабаровская, д. 4а",(495) 469-13-21,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1516»,бюджетное,Буканова Наталья Львовна,37.8315999964,55.8193103735
472,Мещанский район,"129110, г. Москва, Б. Переяславская ул., д. 1, стр. 1",(495) 688-49-98,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2107,бюджетное,Бабенко Григорий Иванович,37.6243624374,55.7872375941
473,район Ивановское,"105568, г. Москва, улица Чечулина, д. 28",(499) 308-29-54,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1373»,бюджетное,Углава Наталия Марковна,37.8337675025,55.7811513859
474,район Строгино,"125310, г. Москва, Ангелов переулок, д. 2, корп. 2",(495) 942-93-36,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «Неоткрытые острова»,бюджетное,Чистякова Наталья Михайловна,37.4487246773,55.8556788624
475,район Преображенское,"109004, г. Москва, Воронцовская ул., д.6А, стр.1",(495) 963-31-97,Государственное бюджетное образовательное учреждение города Москвы дополнительного профессионального образования (повышения квалификации) специалистов Городской методический центр Департамента образования города Москвы,бюджетное,Лебедева Марианна Владимировна,37.6654955098,55.7431015048
476,Савёловский район,"127220, г. Москва, ул. Нижняя Масловка, д. 16",(495) 614-10-10,Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования № 1601 имени Героя Советского Союза Е.К. Лютикова»,бюджетное,Фиофанова Ольга Александровна,37.5614381347,55.7961099832
477,район Царицыно,"115419, г. Москва, 2-й Верхний Михайловский пр., д.9-а",(000) 000-00-00,Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Московский центр качества образования»,автономное,Кузьмин Павел Владимирович,37.523410391,55.8086088913
478,район Тропарёво-Никулино,"119571, г. Москва, ул.26 Бакинских комиссаров, д.3, корп.5",(495) 434-26-58,Государственное бюджетное образовательное учреждение Московская гимназия на Юго-Западе № 1543,бюджетное,Завельский Юрий Владимирович,37.486351604,55.6561929048
479,район Старое Крюково,"124527, г. Москва, Зеленоград, корп. 817",(499) 732-09-01,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1528»,бюджетное,Слесарев Андрей Сергеевич,37.1816273926,55.9801382851
480,район Преображенское,"111555, г. Москва, ул. Молостовых, д. 10А",(495) 962-19-11,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1502 при МЭИ»,бюджетное,Чудов Владимир Львович,37.830748545,55.7608422687
481,район Измайлово,"105484, г. Москва, Сиреневый бульвар, 58А",(499) 463-17-69,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 734 «Школа самоопределения»,бюджетное,Грицай Юлия Владимировна,37.8212808611,55.800149059
482,район Марьино,"109451, г. Москва, Перервинский б-р, д.5, корп.3",(495) 658-58-88,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1423»,бюджетное,Баталова Марина Викторовна,37.7675998976,55.6639792064
483,район Нагатинский Затон,"115142, г. Москва, Коломенская наб., д.16",(499) 615-62-69,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 514»,бюджетное,Смирнов Дмитрий Викторович,37.6920309278,55.6760043184
484,район Котловка,"117186, г. Москва, Севастопольский просп., д. 43А",(499) 127-58-92,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 626 имени Н.И.Сац»,бюджетное,Радзевич Валентина Юрьевна,37.5962391223,55.6754153689
485,район Люблино,"109559, г. Москва, Белореченская ул., д.11",(495) 359-99-39,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 460 имени дважды Героя Советского Союза А.А. Головачёва»,бюджетное,Голубева Ольга Вадимовна,37.7694084857,55.673658651
486,район Фили-Давыдково,"121374, г. Москва, Кутузовский пр-т, д.80",(499) 445-06-45,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 712»,бюджетное,Еременкова Татьяна Егоровна,37.4553388641,55.7258179546
487,район Чертаново Центральное,"117570, г. Москва, Днепропетровская ул., д.33А",(495) 313-74-10,Государственное бюджетное общеобразовательное учреждение города Москвы средняя общеобразовательная школа № 556,бюджетное,Яковлев Геннадий Сергеевич,37.5919703952,55.6213089719
488,район Орехово-Борисово Южное,"115597, г. Москва, ул.Воронежская, д.46, корп.3",(499) 782-70-47,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 949»,бюджетное,Антонова Ирина Петровна,37.7475027775,55.6089955803
489,Южнопортовый район,"115432, г. Москва, 2-й Южнопортовый пр., д.11, стр.1",(495) 679-08-26,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2129» имени Героя Советского Союза П.И. Романова,бюджетное,Плахова Алла Семеновна,37.6704571049,55.7042684269
490,район Митино,"125310, г. Москва, Пятницкое шоссе, д. 45, корп. 2",(495) 751-69-72,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1358»,бюджетное,Живилин Вячеслав Владимирович,37.3492476937,55.8516935447
491,район Царицыно,"115477, г. Москва, Кавказский б-р, д.16, корп.2",(495) 325-21-33,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 904»,бюджетное,Тишкова Елена Алексеевна,37.6651942516,55.6337878177
492,район Коптево,"125299, г. Москва, ул. Большая Академическая, д. 22а",(495) 450-77-52,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1576»,бюджетное,Маевская Инна Генриховна,37.520027574,55.8169785772
493,Басманный район,"107078, г. Москва, улица Новая Басманная, д. 4-6, стр. 4",(499) 975-16-41,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1589»,бюджетное,Никитина Татьяна Павловна,37.6959145688,55.778907437
494,район Южное Бутово,"117623, г. Москва, ул. Джанкойская, д.7",(495) 712-76-33,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением экономики и информатики № 1355»,бюджетное,Поручикова Светлана Николаевна,37.5772924451,55.5383943737
495,район Люблино,"109559, г. Москва, Тихорецкий бульвар, д. 8А",(495) 358-11-56,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 572 «Возможности»,бюджетное,Жигулина Ирина Борисовна,37.7678691071,55.6780345441
496,Гагаринский район,"119334, г. Москва, Ленинский проспект, д. 34А",(499) 135-33-40,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 192»,бюджетное,Старкова Татьяна Михайловна,37.5745547572,55.7070311701
497,район Перово,"111401, г. Москва, ул. 3-я Владимирская, дом 12 А",(495) 304-03-00,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1637»,бюджетное,Пшенина Ирина Вадимовна,37.783897319,55.7597091237
